                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     48,                0.01753,               0.014406,               0.016644,                      0,                0.99904,                0.99848,                0.99498,                0.96551,                0.99926,                 0.9987,                0.99498,                0.82593,              0.0065268,              0.0074885,              0.0055555,                      0,                0.00859,                0.00859,                0.00859
                     49,               0.016907,               0.014413,               0.016534,                      0,                0.99892,                0.99887,                0.99498,                0.96447,                0.99892,                0.99887,                0.99498,                0.82363,              0.0064758,              0.0075201,              0.0055147,                      0,                0.00856,                0.00856,                0.00856
                     50,               0.017174,               0.014256,               0.016723,                      0,                 0.9991,                 0.9987,                0.99494,                0.96615,                0.99932,                0.99892,                0.99494,                0.82235,              0.0064685,              0.0074932,              0.0055207,                      0,                0.00853,                0.00853,                0.00853
                     51,               0.017298,               0.014444,               0.016442,                      0,                0.99912,                 0.9987,                0.99498,                0.96701,                0.99912,                 0.9987,                0.99498,                0.82721,              0.0064715,              0.0074204,              0.0054867,                      0,                 0.0085,                 0.0085,                 0.0085
                     52,               0.017193,               0.014393,               0.016358,                      0,                0.99932,                0.99848,                0.99499,                0.96788,                0.99932,                0.99848,                0.99499,                0.82761,              0.0064096,              0.0074002,              0.0054555,                      0,                0.00847,                0.00847,                0.00847
                     53,                0.01703,               0.014206,               0.016335,                      0,                0.99913,                0.99838,                0.99499,                0.96635,                0.99887,                0.99892,                0.99499,                0.82538,              0.0063546,              0.0073924,              0.0055085,                      0,                0.00844,                0.00844,                0.00844
                     54,               0.017161,               0.014383,               0.016394,                      0,                 0.9994,                0.99848,                  0.995,                0.96689,                0.99936,                0.99848,                  0.995,                0.82426,              0.0062865,               0.007368,              0.0054034,                      0,                0.00841,                0.00841,                0.00841
                     55,               0.016916,               0.014227,               0.016295,                      0,                0.99934,                0.99827,                  0.995,                0.96791,                0.99949,                0.99848,                  0.995,                0.82513,              0.0063132,              0.0073437,              0.0054094,                      0,                0.00838,                0.00838,                0.00838
                     56,               0.016803,               0.014113,               0.016103,                      0,                0.99935,                0.99852,                0.99498,                0.96795,                0.99956,                0.99892,                0.99498,                 0.8265,              0.0062871,              0.0073212,              0.0054252,                      0,                0.00835,                0.00835,                0.00835
                     57,               0.016953,                0.01416,               0.016677,                      0,                0.99935,                0.99859,                0.99499,                0.96949,                0.99947,                0.99892,                0.99499,                0.82803,              0.0062276,              0.0073085,              0.0053687,                      0,                0.00832,                0.00832,                0.00832
